,닉네임,댓글,날짜
100,병1신들아(211.247),내가 1등 역사의 마지막은 내가 장식,2008.08.08 18:45:58
101,나군..훗(61.253),ㄱㄱ,2008.08.10 21:33:24
102,ㅁㅁㅁ(61.75),마지막은 무슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2008.08.25 13:22:27
103,ㄷㄱ(222.113),광주네 ㅋㅋㅋㅋㅋㅋ광주 ㅋㅋㅋㅋ,2008.09.01 01:29:32
104,마지막(220.71),============================================내가 마지막이다 ㅋㅋㅋㅋ=============================================================,2008.09.27 18:47:31
105,초딩킬러 ,즐 내가마지막,2008.09.28 23:38:16
106,ㅁㄴㅇㄹ(59.13),훗 내가 마지막이다,2008.10.09 22:34:53
107,기린 (121.181),-------------------------------------------------------------------여기까지 내앞에 무릎을 꿇어라,2008.10.11 13:28:42
108,ㅋㅋㅋ(211.199),-------------<디씨기 존재하는 이상 마지막은 없다!>----------,2008.10.11 19:59:02
109,뭐가낳냐? ,ㄱㄱㅅ,2008.10.12 13:27:35
110,자자미 ,"추억의 유행어!!   \""합성이네\""",2008.10.18 04:52:16
111,김하늘(142.162),내 밑으로 맆흘 다는 용자는 3대가 고자에다가 대마법사 핸드레이크의 저주를 받으리 하악,2008.10.20 10:29:54
112,빙신(121.131),빙신,2008.11.05 14:43:11
113,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:30
114,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:38
115,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:50
116,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:53
117,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:57
118,빙신(121.131),빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신빙신,2008.11.05 14:43:59
119,김하늘(142.162),빙신아 넌 3대가 고자다,2008.11.15 08:37:04
120,김하늘(142.162),+ 9서클 짜리 저주,2008.11.15 08:11:03
121,토토뽀야(119.201),축복받은 저주풀기 주문서,2008.11.18 00:03:49
