,닉네임,댓글,날짜
609,민이(211.36),어랏.. 글 다 쓰고 위에 마저 읽으니까 정말 답 나왔네요.. ㅡ.ㅡ;;; 맞았다.. 헤헷...,2001.11.08 20:04:35
610,..(203.251),..,2001.11.09 11:07:40
611,사진주인(203.251),저거 내사진 !,2001.11.09 11:08:09
612,기계공학도(210.183),음...기계공학도의 생각으로..약간의 의심스러운 부분이 있는듯함다. 화염과 연기의 상관관계인데 연기의 상태로 보아선 주위의 공기는 매우 안정된상태인데 반해 화염의 불길은 인위적인 유체(공기)의 흐름을 받은것 처럼 방향이 치우쳐 있습니다.,2001.11.09 13:53:56
613,기계공학도(210.183),또한 사진속의 화염은 아래방향으로 공기의 공급이 차단된 후드위에서 연소되고 있으므로 사진처럼 격렬한 연소를 일으킬 수 없습니다.,2001.11.09 13:57:54
614,기계공학도(210.183),"또한 외부에서의 인위적인 인화물에 의한 발화가 아니라면 화염음 자동차내부 즉, 후드 아래에서 발생해야 마땅하나 사진속의 화염의 대부분이 후두에서 시작되는것으로 보입니다.",2001.11.09 14:03:42
615,단(211.219),100%단정할순 없지만 합성입니다 만약 실제상황이라면 밑에부분 불이붙은곳이 밝아야고 저정도 불이났는데 주변에 사람도 없고 어쨋든 실감이 않나는 사진인것 같습니돠,2001.11.09 16:25:41
616,삼돌2(211.187),진짜 합성이라면 이거한사람 ILM에 취직시켜두 됩니다. 나두 한포샾 하는데 이건 실제 상황으로 보이네요.,2001.11.09 17:24:47
617,번호판은(61.84),합성같은데요,2001.11.09 17:35:26
618,zeze(203.237),합성아닙니다. 제찹니다. 흑흑.... ㅜ.ㅜ,2001.11.09 17:54:53
619,zndznd(211.109),합성맞습니다..차에 불이붙었는데....불끄는사람은 한명도 없고..........거기서 사진찍는 양반은 또멉니까?????그리고 사진구도상으로 저건 차를찍을려는건데........머가 그리 말이 많은지.............,2001.11.09 19:22:43
620,실제상황(211.224),"싼타페 화재 사고 발생 차종 : 싼타페 디젤 2륜 스틱 최고급형 사고일 : 2001년7월31일 오전 11시 경피해정도 : 싼타페 차량 완전 전소, 주차장 차량 2대 열변형(본넷,앞범버,백밀러,",2001.11.10 05:44:18
621,짭새(203.250),번호판 추적해서 과태료 부과하겠습니다. 명목은 공공장소에서 허가받지 않은 실험을 한점이고요... 차량앞부분에 불법부착물도 과태료 부과의 범위입니다.,2001.11.10 17:34:27
622,초코두유(211.240),합성인거 같네요..,2001.11.11 14:16:37
623,지나가던이..(211.104),전 포토샾에 지식이 많은 사람은 아닙니다만..불이 붙물체 때문에 아지랑이가 하나도 생긱지 않는 걸 보면 좀 이상하죠..의심이 좀 ...-_-;,2001.11.11 15:58:35
624,지나가던이..(211.104),아래 연료같은게 나오 붙은 불때문에 라도 번호판 주위가 좀 아지랭이가 생겨서 ..촞점이 안맞을 텐데..,2001.11.11 16:00:11
625,이형래(61.72),이거 합성 아닙니다 이런일이 있었어요 우리 싼타동호에서 예전에요,2001.11.12 19:26:51
626,아노(합성파)(211.226),민이님 포도가게로 어떤과정으로해서 그렇게 나왔는지 알켜주세요 똑같이 따라해보게요,2001.11.12 22:30:13
627,하늘님프(211.221),원래 포토샾하는사람들 대부분 그럴듯하면 다합성이라구하져.ㅡ.ㅡ,2001.11.13 11:43:01
628,하늘님프(211.221),자기도할수있다니어쩐다니....ㅡ.ㅡ 다 자기자랑아닌가?,2001.11.13 11:43:14
629,하늘님프(211.221),이거 합성이라구한사람들 다어디갔나.. 첨엔 자신있게말하더니만..,2001.11.13 11:46:18
630,BLUEHAIM(211.195),불난 산타페 실제 소유주 : 발화부분은 범퍼쪽이 아닌 공기 흡입구 아래였음,2001.11.13 20:52:29
631,사기꾼(211.202),가짜다. 사기꾼이 봤을때 전문적 식견으로는 잘모르겠지만 감으로 이거는 가짜다.,2001.11.14 15:13:13
632,잡았따~!!(211.72),사기꾼~~^^,2001.11.16 23:04:03
633,monday(61.83),합성임... 적당한 불 이미지랑 시간만 있으면 만들수 있습니다..,2001.11.17 11:00:08
634,이거(61.82),합성인데.... ㅋㅋ~ 여기서 보네여....,2001.11.18 17:23:00
635,자헤공괄단(61.255),"먼저 본넽 바로위에 위치한 나무가지는 다른 이미지를 합쳐 블러효과를 줬으며, 따라서 나무가지의 방향성이 틀려졌음. 또한 헤드라이트면의 불길은 뚜렷하나 본네트쪽 불길이 흐린이유도 마찬가지로 헤드라이트 부분보다 본넽쪽이 뒤쪽의 불임을 표현하기위해 블러효과를 주어 공간효과를 표현했으나 그 경계효과가 부자연스럽게 표현.(본네트 중앙을 잘 살펴보면 이미지표현이 엉성한 부분이 있음) 본래의 나무아래의 산타페가 있는 사진에 불이난 이미지를 얹혀 레이어 작업 후 처음에 말한 나무가지 이미지를 합쳐 마무리 한 것으로 판단됨. 고로 여기에 쓰인 레이어는 3개, 사진 이미지도 3개.     그런데 정말 멋지게 합성하셨네요.. 우와.. 감상 잘했습니다.",2001.11.20 16:13:43
636,준형이(163.152),"어의 없는 글들이 많군요... 자동차가 어떠한 이유에서건 화재의 요건은 가지고 있습니다. 자헤공갈단님처럼 블러의 효과를 주고 안주고를 떠나서 fire는 프렉탈이론처럼 차원적인 개념으로 설명할수 있는 것이 아닙니다. 그래서 사진으로 실제 찍어보면 여러요인(빛,명암,공기량)으로 인해 이상하게 보일수는 있지요.그리고 헤드라이트부분의 검은 부분은 제생각에 차를 코팅한거처럼 보이는군요. 그래서 나타는 열전달로 인해 페인트의 색깔이 변해가는거는 사실같군요. 위처럼 불이나는경우는 디젤차량인경우 공업에서 배웠듯이 압축착화방식을 씁니다. 하지만 인터쿨러니 터보차져를 달았을경우 높은 이그죠스트밸브에서 나오는 고온의 연소열과 인태이크밸브에서 들어오는 혼합연료(공기와 연료)가 완전히 연소되지 못하고 이그죠스트밸브로 나왔을때",2001.11.21 22:06:36
637,준형이(163.152),고온의 열이 이그죠스트(배기)밸브를 지나서 완전연소되지 못한 연료와 만나서 밸브에서 연소하는 경우가 있지요. 터보차져나 인터쿨러의 경우 높은 고온에 견딜수 있지만 이렇게 폭발이 일어난다면 견딜수가 없지요. 전체적인 폭발이 일어나고 부품의 이탈과 위 사진처럼 화재가 발생되는 것입니다. 엔진 주위에는 항상 기름이 있으니까 엔진룸에 불이 붙어서 차 밑에도 불이 붙는거야 당연한거죠... 그리고 누가 자동차타이어는 왜 터지지 않나고 하시는데... 불에 강합니다 제가 알기로는 주위 온도가 300-400정도 되어야 녹습니다. 그리고 녹는다고 터지지는 않지요. 자동차타이어는 섬유가 들어있어서 실제로 불이 붙지 않는이상 쉽게 터지지는 않지요. 그리고 가령 불이 붙더라도 몇분은 견딥니다. 단테스피크를 보시면 이해가 될겁니다.,2001.11.21 22:12:49
638,자헤공괄단(61.255),어짜피 자신의 의견을 제시하는 곳.. 실제로 차에 불이 난것일 수도.. 또한 합성한 것일수도... 그 의견을 제시하는데 다른사람을 끌어들이지는 말아주시길.. ^_____^  平.安.,2001.11.22 04:09:48
639,범(61.36),합성 같진 않군요.. 저도 이렇게 타는 차를 본적이 있어서.. ㅡ.ㅜ,2001.11.23 15:56:24
640,강태양(211.241),제가 차적조회해서 차주에게 전화해봤더니 자기차 무사하다네요 차주는 자기차 인터넷에 올른것도 모르더군요 사진올리신분 빈라덴 추종자 아닌가 의심되네요 아이고 무시라,2001.11.24 01:40:42
641,아는척 하시는분(203.228),많군요.. 디젤 엔진은 압축 공기에 디젤을 분사 하기 때문에 혼합기란게 존재 하지 않습니다. 또한 열심히 설명하신게 후 폭발을 말씀하신것 같은데 후 폭발로 화재가 발생하는 경우는 거의 없습니다. 위 사진의 연소 상황을 보면 실재와 다른점이 많은것 같습니다. 차량 화재는 화염 보다는 연기가 더 많이 나는데 이건머 거의 후드(본네트)위에서 완전연소가 이루어 지고 있으니..흑 연소 공학 D 맞으넘이 무슨 아는체를 하고 있네...,2001.11.24 02:34:22
642,몰좀알고(211.211),말합시다. 산타페는 가스나 휴발유 엔진 입니다. 산타페가 어떻게 생겼는지도 모르면서 아는척은... 디젤은 무슨 디젤엔진..,2001.11.28 20:48:39
643,김영미(211.108),미친 멍청한 넘들..  늬들은 바보냐? 라이타 한번 켜서 그 뒤에 비친 사물의 모습을 봐봐.. 고온뒤의 모슴은 아지랭이가 비친단 말야....... 저 차 앞유리의 라인을 봐봐.. 가능한 라인인지.. 저렇게 깔끔하게 완벽할 라인이 나올 수 있냐? 바보들아.... 합. 성. 이. 야.....,2001.11.30 03:01:30
644,한규택(211.183),저도 포토샵 한다면 고수 측에 드는 사람인데요... 여러분들의 의견 보고 다시 사진을 봐도 이건 합성이 절대 아니네요,2001.11.30 09:35:13
645,빌게이츠(211.211),"500% 확대를 해서 봤는데.. 이정도로 정밀하게 합성을 했다면 세계가 놀랄일이고, 아마 F.B.I 에서 눈독을 들이지 않았을까 생각합니다. 그리고 김영미님 말이 넘 심하군요. 리플을 다시려면 마약하시지 마시고 올리셔요. 약물 중독자 같군요.. 괜히 아무것도 아닌데 흥분까지 하시고. 그리고 다른 차로 이정도로 합성을 해서 올리시면 제가 거액을 드려서 모셔오겠습니다. 몇달을 작업을 해도 이렇게 정말하게 하려면 픽셀하나하나 작업을 해야 할것입니다. 아지랑이 든 뭐든 디젤이든 뭐든 기술적인 문제가 있다고해도 이렇게는 합성을 할수 없다는게 결론입니다. 한번 다운받아서 보십시오..",2001.11.30 19:53:53
646,지나다가.(211.198),차문하고 차체 경계부분 포토샵으로 1000~1600배 해보세요..어색한 부분이 보입니다....연결이 부자연스런부분......,2001.12.01 00:08:32
647,-_-(211.208),jpeg는 원래 그래요...,2001.12.01 04:28:01
648,O.o;;(211.211),1000~1600%로 하면 어떤사진이든 다 합성으로 보여요.. 자기 사진찍고 한번 그정도로 확대 해 보세요.. 무언가 갔다 붙인것 같고 이상할 거여요.. jpeg의 특징이죠..,2001.12.01 16:23:02
649,(__)(210.181),합성맞는거 같은데여..  저렇게 큰 불인데도 썬팅한 창문이나.. 아래 검은 그림자나.. 빛이 없자나여.. 약간의 빛이없음...,2001.12.21 16:39:10
650,그냥(211.247),차주인 최근에 새로 차한대 받았다고 하더군요,2001.12.28 22:07:30
651,뽈또샵10년(211.213),합성놀이 그만해~ 지겹다.,2001.12.30 22:44:31
652,뽈토샵10년(211.213),합성아니라고 저기 위에 링크까지 걸렸구만 말들이 많어.,2001.12.30 22:45:13
653,헐(211.204),이거 합성아닌데요...실제상황이고.. 그냥 차를 좀 아는분들은 다 접한 뉴스입니다..산타페 불붙어서 차량전소한거 특히 자동차 동호회 사이트에는 다 돌았던 사진과 글이죠..현대는 미쓰비씨라는 일본서 젤 차 못만드는 회사서 기술을 배워오기 때문에 그리 좋은 차가 아니에요 아마 조만간에 소나타와 그랜져도 길거리에 갑자기 시동꺼지고 하는 일이 자주 일어날거에요 어떤 부품을 국산화 했는데 성능이 많이 떨어지거든요 아마 다들 차에 관심이 없으셔서들 합성이라고 생각하시는듯...아마 산타페동호회 찾아서 서치해보문 저차에 대한 얘기가 있을겁니다...,2001.12.31 03:03:32
654,마조(211.217),"저두 차에 관련된쪽에 있는데여, 포샵은 조금밖게 몰르지만유, 산타페는 디젤,개솔린,LPG 삼형제루 나옵니다. 상기의 차량은 옵션으로보아하니, GOLD모델이구여 LPG입니다. 예전에LPG모델들이 불이 많이 붙었었죠 ^_^; 합성은 절대 아닙니당.",2002.01.08 01:26:24
655,옹(211.215),"19살 어린애(?) 지만, 몇가지 보면... 연기가 나오는 부분이 타이어와 본체 사이, 차 앞의 파열된 부분, 차 내부 등 인 것으로 보아, 본네트 안쪽에서 일어난 화재임, 겉에서 화염병 던진것 (^^;) 따위는 절대 아니다... 같고요",2002.01.25 02:12:34
656,옹(211.215),"흘러내리는 모양의 불길과 차 하부의 불길, 연기의 색깔 등으로 미루어 보면 액체 연료가 타고 있다, 액체 연료는 산소가 상당히 부족한(본네트 안쪽) 에서도 완전연소(하얀 연기는 탄소가 적다..) 할 수 있는 탄소량이 적은 연소이다..라고 생각되네요",2002.01.25 02:15:30
657,그래픽디자이너(61.75),붕신쌔끼..뭐? 포토샵에서 1000-1600배로 확대? 븅신아냐? 도트밖에 안보이는데..저건 합성 아니야..젖도 모르는 븅신아,2002.02.01 21:59:05
658,스톰(210.117),진짜 한심하고 난척하는 사람들 많네... 좀 해본사람이면 저런거 합성인지 아닌지 대번에 다 알아요.. 이 난척동자들아..,2002.02.06 03:45:01
659,추~ㄹ(211.199),합성임 왜냐면 앞바뀌가 불에의해 환하게 나와야 되는데 그림자에  가려 안보임,2002.02.14 18:31:57
660,ㅎㅎ(218.51),이거 합성이여요...~      불이 트렁크(?)유리창에 비춰야 대능데 안비춰여..,2002.02.15 22:28:56
661,이 세 윤(211.204),심형래의 용가리,2002.02.17 18:35:44
662,삵쾡이(61.99),자기네들 대충 추측으로.. 혹은 뭣좀아는듯이 합성이니 설치는 인간들 한심스럽기 그지없구먼..쯧쯧  진짜불나서 사건접수한거잖아 저거..,2002.02.18 16:25:33
663,졸든(211.177),저기 나뭇잎 각도로 봐서는 합성같은데. 나뭇가지가 어색하죠..합성일수도 있고 아닐 수도 있죠.,2002.02.20 01:09:53
664,포토샵매니아(211.227),아무리 합성을 잘한다하더라도 자세히 보면 티가 나게되있는데 만약 저정도로 자연스럽게 합성할수 있다면 기술적인 부분은물론  감각적으로도 천재라고 생각되어집니다.개인적인의견은 모든 면에서 볼때 합성이아니다!!입니다.,2002.02.20 22:29:34
665,뉘미랄(211.104),리플그만달아라 짱똘들아 결론 났잖아 귤님글리플레이 님의 글을봐라.. 뷩들..,2002.02.23 11:39:30
666,어쨋든(211.244),.....절대로...................................................................................................................................................................산타페는 안타야 것다.............................................................,2002.03.17 00:52:05
667,구리구뤼(61.84),불법소각입니다. 동사무소로 오세요.,2002.03.17 13:29:15
668,늘배고파(211.226),진짜 사진이네요. 합성아닙니다. 제발 합성이라고 우기지좀 마시고,2002.03.20 11:50:31
669,커피사줘(211.220),디젤엔진은...흠..경유를 쓰죠..경유는 아마 착화온도가 300도 쯤 될겁니다.합성이고 아니고를 떠나서 LPG나 가솔린엔진이 아닌 다음에야 저런 멋진 불은 보기 힘들꺼라는 생각입니다. 그리고 본넷트를 못열었다는데...안에서 발생한 불이 저렇게 멋지게 올라오지는 않죠. ...개인적으로는 방화로 보인다는...,2002.03.22 16:09:10
670,커피는??(211.220),그리고 위에 귤님의 글에 있는 링크를 따라가보면 옆에 차들이 가까이 있어서 열변형이 갔다는데...보시다시피 사진에는 옆에 차가 없죠?? 설마 신나게 불타는중에 차를 옆에다가 떡하니 주차하는 사람은 없을테고....흰차가 한대 보이지만...앞부분에 열변형이 가기에는 너무나도 먼거리로 보입니다만...합성이 아니라면 방화로 보인다는.....,2002.03.22 16:15:46
671,제 생각(61.75),분명 합성입니다.. 압 범버에 그을음이 없네요...,2002.03.23 22:55:40
672,잇셩(211.216),"장장 6-7개월을 끌어 온것같은데, 합성이라 주장하시는분도 아니라는분도그렇고 -_-이 사진 다운로드 수가 54던데 결국 그나마 확대까지 해가며 사진을 본건 54명 -_- 나머지는 보지도 않고 말한거군요",2002.03.27 12:18:15
673,잇셩(211.216),"글쎄요 차주인을 찾는게 가장 빠를텐데, 디시에는 현대자동차 직원은 없나봐요 -_-",2002.03.27 12:20:00
674,헉~~(211.179),내차 불타는것 누가 찍었지?,2002.03.27 14:25:12
675,자동차 메니아..(211.222),지금보니 앞 그릴이 이상하네여.. 꼭 앞모습이 체크무늬 차량이나 다른데서 부러온듯한 느낌입니다.. 제생각은 합성이 아닌가 싶네요..,2002.04.05 01:00:21
676,--;(211.225),--;,2002.04.09 11:35:09
677,icarus(211.190),사람들 바보로 만들려고 누가 장난친 글이네요 ㅎㅎㅎ,2002.04.10 07:34:21
678,껌땡(210.219),척봐도 합성인거 알겠구만,2002.04.10 11:30:52
679,로드칸(211.200),논란의 종지부를 내겠다는 분들의 다른 홈피에 그런 답이 나왔으니 정답이라는데 그것은 극장우상에 빠질수 있는 큰 오류를 포함하고 있습니다. 만약 거기 올린 글이 사기나 거짓 작업으로 올린 글이라면 어찌 하겠습니까? 이 사진 자체로 합리적인 해석을 하여야 오류나 오차가 줄어들지 검증되지 않은 몇줄의 글이 진실을 말하지 않습니다. 이 사진을 제가 보기엔 사진구도나 찍을 당시의 의도는 차의 멋있음을 찍기 위한 구도 같습니다.그러나 기술적으로는 진실에 가까운것 같습니다. 사진 한장으로 판단하기엔 부족한 제생각은 7:3으로 합성등의 사진인것 같습니다,2002.04.10 13:17:49
680,훌맨(218.54),도에 대해 아십니까?,2002.04.17 00:09:17
681,스님(165.194),하나님을 믿으세요.,2002.04.19 00:30:39
682,그냥이(210.219),합성! : 스탠 범프에 불길이 반사된 흔적이 없는것로 봐서 잘 만들어진 합성 같습니다.,2002.04.24 20:46:03
683,DSC-P3(218.147),뒷북인거같아서 죄송하지만.. 차 밑에 붙은 작은 불로는 주위가 밝아지지 않습니다. 라이타 불처럼 고도가 약간이라도 있으면 빛이 널리 퍼지지만 인화성물질(ex:석유)이 땅에 스며든채로 붙으면 빛이 멀리퍼지지않죠,2002.04.29 04:31:30
684,DSC-P3(218.147),전 이걸 옛날에 지포라이터 기름을 갖구놀다 알게됬는데요. 어두운곳에서 지포라이터 기름을 땅에 뿌리고(약 5스푼정도)불붙여보세요,2002.04.29 04:33:00
685,DSC-P3(218.147),그리고 촬영시 기술적인요소로는 노출이 야외의 햇빛(강한빛)에 잡혔기때문에 상대적으로 약한 빛이 안보이게 될 수도 있죠,2002.04.29 04:34:13
686,DSC-P3(218.147),결론은 이미 나왔지만  한마디하고 갑니다. 빠이~,2002.04.29 04:35:18
687,;;(211.208),합성인디 --;;;,2002.05.04 02:19:39
688,^^(211.58),조수석에 왠 할아버지^^,2002.05.06 14:05:43
689,흠..(211.204),한번 불내보져? 어케대나.. 한 500명 모아노쿠 한방에 파파팟~ 찍눈 거예여~ 금 1개정도는 절케 나오게뗘 머~,2002.05.12 19:54:55
690,가짜(210.103),가짜인듯 싶습니다. 앞면에 검게 그을린 부분있죠. 그렇게 그을릴 정도면 저렇게 흰연기가 나는게 아니라 대개가 검은연기가 나야 합니다. 그리고 차문이 열려있는 위쪽의 연기의 와류현상이 다르네요.,2002.05.17 15:13:29
691,이모군(211.186),여기서 합성이니 뭐내 해봤자. 차량 전문가나 화재 전문가가 합성이네 마네 해야지 포샵 전문가들이 합성이네 하긴 무리가 있다고 봅니다.,2002.06.01 03:13:31
692,이모군(211.186),저각도에서 창에 반사? 불가능 하리라고 봅니다,2002.06.01 03:14:26
693,ㅗㅡㅡㅗ(210.117),존니 뷩쉰들도 아니고 합성 아니라고 답이 나왔는데 끝까지 합성이라고 하는 사람은 모냐? 진짜 존나 웃기네,2002.06.03 03:33:28
694,Gold_Tania(218.54),이거 합성같군요 ㅡ.ㅡ;;일반적으로 저정도면 차 폭팔합니다 ㅡ.ㅡ;;,2002.06.14 17:29:48
695,...(211.187),삭삭춘?,2002.06.21 18:32:57
696,???(61.72),이곳에도 잘알지도 못하면서 심심해서 한마디 지껄이고 가는 쓸모없는 인간들이 많군요,2002.06.24 12:11:37
697,신문에 난거(203.231),이거 신문에 난건데 왜 자꾸 합성이라고 하시나요? 이거 실제 상황인데여... 불타던거 찍은건데여...,2002.06.28 16:32:50
698,교수 4분께...(203.231),절대 합성 아니라는 데요 합성한분 데려오면... 학과장 시켜준데여...,2002.06.28 16:34:35
699,영화광(211.192),영상 작업하면서 합성을 많이 다뤘는데 합성할 때에는 엄청난 상상력과 소묘력이 요구 됩니다. 제가 보기에는 실사입니다.,2002.06.29 15:15:44
700,meek(203.247),테리칸 -> 테라칸,2001.08.10 10:26:23
701,화재감식가(210.96),합성이라고 생각하는 이유  1. 번호판이 지나치게 깨끗한 상태이다.  2. 저 정도 화력에 플라스틱 범퍼의 훼손상태가 양호하다.  3. 플라스틱류가 탈때 나오는 시커먼 꺼으름이 눈에 띠지 않는다.,2001.08.10 10:10:21
702,제리(39.115),와우 ㄷ,2021.10.08 23:03:52
703,conan(211.219),흰색차에 비친 검은색은 합성흔적이 번진게 아니라 오른쪽 사이드미러의 그림자 군요. 그리고 차앞쪽 바닥의 연기그림자와 색감이 완벽하네요. 진짜임.,2001.08.10 10:26:05
704,"ㅡ,.ㅡa(211.178)",제가 보기엔 진짜인것 같은데...,2001.08.10 08:38:16
705,지원이(211.217),그리고 더 결정적인 것은 흰색차를 잘보면 불이난 차의 합성흔적이 옆에 차까지 퍼져있네요..흰색차의 오른쪽 새까맣게 탄 흔적이 옆에 차의 흰부분까지 색이 퍼져있으니깐여.,2001.08.10 09:38:12
706,암튼(211.190),작품이네~ ㅋ,2001.08.10 09:37:00
707,눈사람(210.223),진짜에요.. 아래 불길이 있는걸로 봐서 폭발보단 휘발성물질을  뿌리거나 흘러나와 불이 붙은것 같아요 금속에 열받아서 그을림 생긴거나 페인트가 녹아 일그러진것등등..만약 저게 가짜라면 타 자동차회사에서 거액에 돈을 들여 진짜초고수의 그래픽디자인어에게 부탁한것일수도...우리나라 몇십억을 들여 제작한 컴퓨터그래픽도 어설푼데 저런 파이널판타지를 능가하는 리얼리티의...와~ 놀라울다름입니다. 가짜라면요..,2001.08.10 09:45:37
708,ㅌㅌ(211.221),연기를 뒤문쪽에는 붙여 줬어야 더 리얼 했겠죠. 물론 오른쪽문에도요.,2001.08.10 09:04:13
709,토맛쓰(211.38),"다른건 전부 실제 상황같은데, 차 넘버판은 합성 같군요.. 합성이 아니라고 주장하시는 분들 좀 더 그럴싸한 증거를 제시해 보시길.. 제가 보기엔 나뭇잎과 연기, 불 부분을 자세히 보면 실제 같은데..",2001.08.10 10:19:13
710,지원이(211.217),합성이네요. 오른쪽 불에탄 시커먼 흔적을 보면 이것은 불에탄 흔적이 아니라 충돌해서 찌그러진 모습입니다. 불에 탄 흔적이 아닙니다. 불에탄 효과를 내기위한 눈속임인것 같군여. 그리고 그옆 흰색차가 있는거로 보아서 합성. 저렇게 차가 불타고 있으면 누가 저렇게 그냥 옆에차를 세워놓겠어요..빼죠. 폭발해서 피해를 입을줄 모르는데.,2001.08.10 09:35:06
711,우즈키(203.234),합성입니다. 불과 연기에 대한 그림자가 전혀 없습니다. 정오쯤에 찍은사진인거 같은데 그림자의 방향으론,2001.08.10 10:07:53
712,에자...(211.104),합성같군요..,2001.08.10 08:23:36
713,박진희(211.245),합성임다.. 실제차는 저부분에서 저렇게 불이 붙을수가없습니다. 인화물질(휴발유)를  고의로 뿌렸다면 말이 달라지지만..,2001.08.10 07:57:28
714,N.com(211.205),하아;;진짜같군요;; 하지만 KBS에서 \'무궁화꽃이피었습니다\'라는 발송할 때 벤츠가 불에 타는 장면을 만들어낸 걸 봤습니다. 장난아니게 잘만들었었지요;,2001.08.10 15:26:46
715,제리(39.115),무궁화~ 꽃이~ 피었습니다!,2021.10.08 23:05:28
716,이름이(211.187),이거 합성입니다 ㅡㅡ,2001.08.10 09:41:35
717,토맛쓰(211.38),"합성이라고 주장하시는 분들, 포토샵을 그나마 좀 아시는 분들이라 생각되는데 포토샵으로 자기 자신이 이런걸 합성할때 어떤방법으로 할 수 있냐를 제시해 보시죠.. 이런상황에 디카찍는놈 없다, 범퍼가 너무 말짱하다 이런 주장 보단 더 신빙성이 가겠네요..",2001.08.10 10:26:53
718,지나가는이(211.55),차앞 범퍼에 있는 안테나가 수상쩍네여.. 사진 다운 받아서 자세히 분석이나 해볼까나 쩝...,2001.08.10 03:42:17
719,Rz(211.178),그건 깃대라고 부르던가?? 암튼..보통.. 스텐재질로 되어있습니다.,2001.08.10 03:44:05
720,합성(61.76),합성이죠.......오른쪽앞바퀴와 오른쪽백미러 사이에 보이는 연기....저렇게 불나면 연기가 그리로 안가죠......그리고 사진 한가운데는 검게 변했지만 불길은 없죠......그리고 결정적인 단서.......차에 저렇게 불났는데 어떤 인간이 디카로 찍고 있었겠습니까,2001.08.10 03:45:18
721,Rz(211.178),어찌보면.. 화염병 맞은거 같기도 하고요.. 바닥의 불로 봐서...,2001.08.10 03:47:59
722,지나갔던이(61.76),전남 33 다 9668 ..... 차주인 차 빨리 빼세요.....,2001.08.10 03:48:43
723,음..(210.205),합성 아닙니다,2001.08.10 03:52:53
724,ddg(211.44),이게 합성이라면 초일류의 일생일대 작품일겁니다.,2001.08.10 04:48:49
725,ddg(211.44),한마디로.. 실제상황입니다요잉~,2001.08.10 04:49:18
726,simaa(211.110),"합성 아닌거 같은데여 제차도 저렇게 불난 적있어여,,,달리다가 본네트에서 역기가 나서 열어보니 저렇게 불이 나더라고여 ㅡㅡ;; 돈 무쟈게 들었습니다.",2001.08.10 11:16:29
727,흐미(211.110),제가 웝디자인을 해서 아는데 저거 합성 아님니다. 만약 포샵으로 저런걸 만들수 있다면 제가 스승으로 모시지요,2001.08.10 11:17:41
728,언제부터(211.216),울나라가 할리웃 뺨쳤지??,2001.08.10 11:27:48
729,웹디자인(210.121),이 뭐 대순가. 웹디자이너니까 합성을 못하는군요. 제가 스승이 되어주까요?,2001.08.10 11:45:12
730,o(  .-. )o(210.121),합성.. 힘들긴해도 맘만먹고 덤비면 할 수 있을지도...,2001.08.10 11:46:07
731,울나라도(211.193),저정도 충분히 합니다. PAINT BOX란 책을 보면 정말 멋징 작품 많습니다.근데 제가 스켄받아서 해봤는데 정말 쉽더군여..ㅡㅡ;; 울나라사람들 실력은 최곱니다. 다만 아이디어가 없어서 그렇지....,2001.08.10 11:48:00
732,전문가(203.227),이건 100% 합성아닙니다. 아니 1000%아닙니다. 실제상황임 합성이라고 주장하시는분들 의견이 더 신빙성없어보입니다.차페인트가 녹아내린흔적등을 보세요.. 이정도로 합성할수 있다면 그사람은 드림웍스에 제가 추천하겠음.,2001.08.10 11:51:02
733,전문가(203.227),합성인지 아닌기 이걸 보고 판단하지 말고 이그림을 다운받아 500%이상 확대해서 픽셀단위로 살펴보세요. 합성은 100000%이렇게 보시면 알수있습니다.,2001.08.10 11:53:06
734,ㅡㅅㅡ(61.81),합성이예요..제가 만화를 공부해서 아는데 자동차가 휘어졌어요..구도가 안맞아요..,2001.08.10 11:56:15
735,룰루(211.61),아따 불구경만 하나.....불꺼러가랑....이래서 사진가가 욕먹징..,2001.08.10 11:58:55
736,착시현상(203.227),촬영각도나 사용렌즈에 따라 원근감이 압축되어 휘어보일수있음. 디카유저라면 개초보빼면 누구나 아는 사실임 무식한거 표내지 말것. 100%진짜임,2001.08.10 11:59:05
737,분위기로 봐서(211.186),합성일 가능성이 많다고 봄. 햇볕 따땃한 날 멀쩡히 서있는 차에 불난다는 것도 그렇고. 사진의 구도나 흔들림이 전혀 없는걸 봐도 차문 다 열어놓고 여유있게 찍은 사진으로 생각됨. 또한 저정도 불나기 전에 뭔가 물을 뿌리거나 흙이라도 뿌렸을텐데 그런 흔적도 없고. 어쨌든 합성이라면 훌륭한 작품임.,2001.08.10 12:08:58
738,스터디맨(211.241),합성같은데요,2001.08.10 12:48:08
739,전남(211.174),차에 불이나서 급하게 뛰쳐나가서 문이 열린걸수도 있죠. 뒤에는 짐을끄내러.. 합성아님,2001.08.10 12:54:21
740,독설가(211.49),합성 아님..저렇게 합성할수가 없음.. 오른쪽 라이트 타서 일그러진거...그거보고 말하쇼..그리고저렇게 공을 들여 합성할 이유가 있을까..,2001.08.10 13:01:14
741,충무로 그래픽5년(211.49),합성아닙니다.저런합성불가능..연기 그림자가 없다고하시는데 저렇게 맑은날은 연기그림자가 나겠습니까.왜저걸 합성이라고생각하는사람들이 있나..포샵이나 일러 만져보신분들은 아실겁니다.그리고 만화배우신분 차가 일그러졌다는데 전혀 일그러지지 않았습니다.,2001.08.10 13:06:58
742,감정평가단(211.177),저렇게 불났으면 위에 나뭇가지는 이미 불길에 휩싸였음,2001.08.10 13:33:47
